id,title,subtitle,authors,language,genre,published_date,page_count
644,March,,"[""Geraldine Brooks""]",en,"[""Historical"",""Historical Fiction"",""Fiction"",""Historical"",""Military History"",""Civil War"",""War"",""Literary Fiction"",""Book Club"",""Adult Fiction"",""Adult"",""Novels""]",2006,298.0
645,Live at Five,,"[""David Haynes""]",en,"[""Fiction""]",1997,292.0
646,The New You Survival Kit,"An Essential Guide to Etiquette, Rites and Customs Among the Modern Elite : a Love Story","[""Daisy Waugh""]",en,"[""Womens Fiction"",""Chick Lit"",""Fiction""]",2002,293.0
647,Merlin,Book Two of the Pendragon Cycle,"[""Stephen R. Lawhead""]",en,"[""Fantasy"",""Fiction"",""Historical"",""Historical Fiction"",""Mythology"",""Arthurian"",""Fantasy"",""Mythology"",""Christian"",""Historical"",""Christian Fiction"",""Science Fiction Fantasy"",""Historical Fiction"",""Historical Fantasy""]",1990-04-01,448.0
648,The Tunnels of Cu Chi,,"[""Tom Mangold"",""John Penycate""]",en,"[""History"",""Nonfiction"",""War"",""War"",""Military Fiction"",""Military"",""Military History"",""Cultural"",""Asia"",""Biography"",""North American Hi..."",""American History"",""Historical"",""History"",""World History""]",1986,301.0
650,The Dark Inside,,"[""Rupert Wallis""]",en,"[""Young Adult"",""Fantasy"",""Fantasy"",""Paranormal"",""Mystery""]",2014-06,380.0
651,The Talisman,,"[""Lynda La Plante""]",en,"[""Fiction"",""Mystery"",""Crime"",""Mystery"",""Thriller""]",1988,689.0
654,Asian Godfathers,Money and Power in Hong Kong and Southeast Asia,"[""Joe Studwell""]",en,"[""Business"",""Nonfiction"",""History"",""Cultural"",""Asia"",""Cultural"",""China"",""Economics"",""Politics"",""Economics"",""Finance"",""Literature"",""Asian Literature"",""Self Help""]",2008-09,328.0
659,Storm Prey,,"[""John Sandford""]",en,"[""Mystery"",""Fiction"",""Thriller"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Mystery"",""Detective"",""Suspense"",""Audiobook"",""Emergency Services"",""Police"",""Mystery"",""Murder Mystery""]",2010-06,408.0
660,The Sherlockian,,"[""Graham Moore""]",en,"[""Mystery"",""Fiction"",""Historical"",""Historical Fiction"",""Historical"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Audiobook"",""Writing"",""Books About Books"",""Thriller"",""Adult""]",2010,350.0
661,My Favourite Wife,,"[""Tony Parsons""]",en,"[""Fiction"",""Contemporary"",""Romance"",""Cultural"",""China"",""Novels"",""Modern"",""Family"",""Cultural"",""Asia"",""Womens Fiction"",""Chick Lit""]",2008,405.0
663,Black Cherry Blues,A Dave Robicheaux Novel,"[""James L. Burke""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Thriller"",""Mystery Thriller"",""Mystery"",""Detective"",""Audiobook"",""Mystery"",""Noir"",""American"",""Southern"",""Mystery"",""Hard Boiled""]",1990-12-01,384.0
