id,thumbnail
161,http://books.google.com/books/content?id=q3S_JwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
163,http://books.google.com/books/content?id=BNDklGXR59AC&printsec=frontcover&img=1&zoom=1&source=gbs_api
164,http://books.google.com/books/content?id=yPNMRokRLlsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
165,http://books.google.com/books/content?id=VDRxQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
167,http://books.google.com/books/content?id=L1AhAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
168,http://books.google.com/books/content?id=RL2QuSQVIWsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
169,http://books.google.com/books/content?id=a0n2Wq55Y20C&printsec=frontcover&img=1&zoom=1&source=gbs_api
171,http://books.google.com/books/content?id=R4vYwrTC4bAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
174,http://books.google.com/books/content?id=EbmnbwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
175,http://books.google.com/books/content?id=MRyaQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
176,http://books.google.com/books/content?id=1nY7zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
179,http://books.google.com/books/content?id=EEPePkhGK60C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
182,http://books.google.com/books/content?id=JhzppD_QJy0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
184,http://books.google.com/books/content?id=p0c0nEx-8TcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
187,http://books.google.com/books/content?id=CdGlPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
189,http://books.google.com/books/content?id=GBtIQRG6h64C&printsec=frontcover&img=1&zoom=1&source=gbs_api
190,http://books.google.com/books/content?id=mA7zGgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
192,http://books.google.com/books/content?id=nahWx7sqXM4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
194,http://books.google.com/books/content?id=ikpnYlt2u6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api
195,http://books.google.com/books/content?id=iiH-wo16zx8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
197,http://books.google.com/books/content?id=yCcO-82hcKgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
199,http://books.google.com/books/content?id=M0YGPjzqUY8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
200,http://books.google.com/books/content?id=ZWAfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
201,http://books.google.com/books/content?id=efhiQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
202,http://books.google.com/books/content?id=26BGmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
203,http://books.google.com/books/content?id=NVOHtKD6x00C&printsec=frontcover&img=1&zoom=1&source=gbs_api
204,http://books.google.com/books/content?id=isDWfVbP-hAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
205,http://books.google.com/books/content?id=ljVK5vHribgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
207,http://books.google.com/books/content?id=Y-ieQN-uhGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
208,http://books.google.com/books/content?id=w9dv9lqSJrQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
209,http://books.google.com/books/content?id=dXD_AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
210,http://books.google.com/books/content?id=ZS-nFuKAPcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
211,http://books.google.com/books/content?id=l9mxhh7NggsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
214,http://books.google.com/books/content?id=p92pHwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
216,http://books.google.com/books/content?id=M3zyMXAfwUkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
217,http://books.google.com/books/content?id=cqK_XwUl0nMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
218,http://books.google.com/books/content?id=g6cYmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
219,http://books.google.com/books/content?id=qJOGOB2g8XAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
220,http://books.google.com/books/content?id=xa8FAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
222,http://books.google.com/books/content?id=CyM-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
226,http://books.google.com/books/content?id=N2LxAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
228,http://books.google.com/books/content?id=mO1tEpn5mkoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
229,http://books.google.com/books/content?id=THD2q1o4zAoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
232,http://books.google.com/books/content?id=hAQLAxpxIgYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
233,http://books.google.com/books/content?id=vMCzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
234,http://books.google.com/books/content?id=RZDfBtvM3-EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
235,http://books.google.com/books/content?id=nYe8yRBRWd4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
236,http://books.google.com/books/content?id=hYFcMwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
